"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1092","0.0-0.0","89995","","","","","","","","","","","",""
"browser-check","browser-check","1","3084","0.0-1.0","89995","","1470","816","true","safari","17.5.0","false","Mac OS","true","30.24","true","true"
