"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1219","0.0-0.0","90449","","","","","","","","","","","",""
"browser-check","browser-check","1","2223","0.0-1.0","90449","","1792","1032","true","chrome","134.0.0","false","Mac OS","true","60","true","true"
