"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1049","0.0-0.0","89009","","","","","","","","","","","",""
"browser-check","browser-check","1","2054","0.0-1.0","89009","","1280","631","true","chrome","134.0.0","false","Windows 10","true","60.01","true","true"
