"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1043","0.0-0.0","90449","","","","","","","","","","","",""
"browser-check","browser-check","1","2051","0.0-1.0","90449","","1792","1032","true","chrome","134.0.0","false","Mac OS","true","59.7","true","true"
