"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1294","0.0-0.0","89358","","","","","","","","","","","",""
"browser-check","browser-check","1","2717","0.0-1.0","89358","","1470","727","true","chrome","131.0.0","false","Mac OS","true","60.67","true","true"
