"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","770","0.0-0.0","90378","","","","","","","","","","","",""
"browser-check","browser-check","1","1275","0.0-1.0","90378","","1512","823","true","chrome","132.0.0","false","Mac OS","true","120.02","true","true"
