"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1061","0.0-0.0","90359","","","","","","","","","","","",""
"browser-check","browser-check","1","1573","0.0-1.0","90359","","1512","823","true","chrome","134.0.0","false","Mac OS","true","118.69","true","true"
