"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","836","0.0-0.0","90387","","","","","","","","","","","",""
"browser-check","browser-check","1","1838","0.0-1.0","90387","","1470","839","true","safari","17.3.0","false","Mac OS","true","60.36","true","true"
