"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1432","0.0-0.0","88895","","","","","","","","","","","",""
"browser-check","browser-check","1","2434","0.0-1.0","88895","","1440","812","true","chrome","134.0.0","false","Mac OS","true","60.07","true","true"
