"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1371","0.0-0.0","89305","","","","","","","","","","","",""
"browser-check","browser-check","1","2375","0.0-1.0","89305","","1536","791","true","chrome","134.0.0","false","Windows 10","true","60.2","true","true"
