"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1311","0.0-0.0","90034","","","","","","","","","","","",""
"browser-check","browser-check","1","2324","0.0-1.0","90034","","1440","813","true","chrome","127.0.0","false","Mac OS","true","59.78","true","true"
