"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1566","0.0-0.0","90863","","","","","","","","","","","",""
"browser-check","browser-check","1","2566","0.0-1.0","90863","","1375","727","true","safari","17.1.0","false","Mac OS","true","60.48","true","true"
