"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1082","0.0-0.0","89940","","","","","","","","","","","",""
"browser-check","browser-check","1","2130","0.0-1.0","89940","","1536","730","true","chrome","133.0.0","false","Windows 10","true","57.54","true","true"
