"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1323","0.0-0.0","89953","","","","","","","","","","","",""
"browser-check","browser-check","1","2330","0.0-1.0","89953","","1413","729","true","chrome","128.0.0","false","Mac OS","true","60.15","true","true"
