"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","963","0.0-0.0","90471","","","","","","","","","","","",""
"browser-check","browser-check","1","1975","0.0-1.0","90471","","1280","551","true","chrome","135.0.0","false","Windows 10","true","59.98","true","true"
