"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","908","0.0-0.0","90855","","","","","","","","","","","",""
"browser-check","browser-check","1","1902","0.0-1.0","90855","","1470","797","true","chrome","133.0.0","false","Mac OS","true","60.77","true","true"
