"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1251","0.0-0.0","90364","","","","","","","","","","","",""
"browser-check","browser-check","1","1757","0.0-1.0","90364","","1280","679","true","chrome","134.0.0","false","Windows 10","true","120.63","true","true"
