"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1093","0.0-0.0","89522","","","","","","","","","","","",""
"browser-check","browser-check","1","2105","0.0-1.0","89522","","1680","928","true","chrome","135.0.0","false","Mac OS","true","59.68","true","true"
