"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","930","0.0-0.0","88849","","","","","","","","","","","",""
"browser-check","browser-check","1","1940","0.0-1.0","88849","","1440","812","true","chrome","135.0.0","false","Mac OS","true","59.96","true","true"
