"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1835","0.0-0.0","90115","","","","","","","","","","","",""
"browser-check","browser-check","1","2341","0.0-1.0","90115","","1600","932","true","chrome","134.0.0","false","Windows 10","true","121.36","true","true"
