"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1017","0.0-0.0","90474","","","","","","","","","","","",""
"browser-check","browser-check","1","2028","0.0-1.0","90474","","1470","746","true","chrome","133.0.0","false","Mac OS","true","59.77","true","true"
