"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","2438","0.0-0.0","90339","","","","","","","","","","","",""
"browser-check","browser-check","1","11865","0.0-1.0","90339","","1280","585","true","chrome","134.0.0","false","Windows 10","true","60.61","true","true"
