"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone"
"pavlovia-init","pavlovia","0","1473","0.0-0.0","90071","","","","","","","","","","","",""
"browser-check","browser-check","1","2606","0.0-1.0","90071","","1470","832","true","chrome","135.0.0","false","Mac OS","true","53.73","true","true"
