"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"16","60fe009fbe876ea55251cdfd","svTrial","survey",24,1020008,"0.0-2.0-22.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"67093","Niigata_large_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",7,16,3,4,2,3,2,1,"","","man","","caucasian","","No","",""
"17","60fe009fbe876ea55251cdfd","svTrial","survey",25,1058730,"0.0-2.0-23.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"38708","Tokyo_middle_sch_2_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",2,17,4,4,4,2,2,1,"","","man","","caucasian","","No","",""
"18","60fe009fbe876ea55251cdfd","svTrial","survey",26,1123728,"0.0-2.0-24.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"64986","Akita_large_pos_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",5,18,3,1,2,2,3,1,"","","man","","caucasian","","No","",""
"19","60fe009fbe876ea55251cdfd","svTrial","survey",27,1180892,"0.0-2.0-25.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"57150","Hokkaido_large_pos_10_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",10,19,2,1,1,1,1,1,"","","man","","caucasian","","No","",""
"20","60fe009fbe876ea55251cdfd","svTrial","survey",28,4762060,"0.0-2.0-26.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"760107","Hokkaido_large_sch_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",8,20,NA,NA,NA,NA,NA,1,"","","man","","caucasian","","No","",""
"21","60fe009fbe876ea55251cdfd","svTrial","survey",29,4763722,"0.0-2.0-27.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"1630","Okinawa_middle_pos_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",1,21,NA,NA,NA,NA,NA,1,"","","man","","caucasian","","No","",""
"22","60fe009fbe876ea55251cdfd","svTrial","survey",30,4764010,"0.0-2.0-28.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"272","Okinawa_middle_sch_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,22,NA,NA,NA,NA,NA,1,"","","man","","caucasian","","No","",""
"23","60fe009fbe876ea55251cdfd","svTrial","survey",31,4764677,"0.0-2.0-29.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"637","Hokkaido_small_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",2,23,NA,NA,NA,NA,NA,1,"","","man","","caucasian","","No","",""
"24","60fe009fbe876ea55251cdfd","svTrial","survey",32,4765048,"0.0-2.0-30.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"360","Ishikawa_small_sch_3_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",3,24,NA,NA,NA,NA,NA,1,"","","man","","caucasian","","No","",""
"25","60fe009fbe876ea55251cdfd","svTrial","survey",34,4768873,"0.0-2.0-32.0","65553732575bb29198a888d7","6556596a589c16e683d9263c",6,"1472","Ishikawa_large_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",2,25,NA,NA,NA,NA,NA,1,"","","man","","caucasian","","No","",""
