"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"16","610df498456dbaeef682c7ca","svTrial","survey",24,387512,"0.0-2.0-22.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"29029","Akita_middle_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",4,16,3,1,1,1,1,1,"","","","southeast-asian","","No","",""
"17","610df498456dbaeef682c7ca","svTrial","survey",25,411403,"0.0-2.0-23.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"23825","Akita_small_pos_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",3,17,3,4,1,3,4,1,"","","","southeast-asian","","No","",""
"18","610df498456dbaeef682c7ca","svTrial","survey",26,443255,"0.0-2.0-24.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"31818","Hokkaido_large_sch_9_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",9,18,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"19","610df498456dbaeef682c7ca","svTrial","survey",27,457776,"0.0-2.0-25.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"14468","Ishikawa_middle_sch_6_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",6,19,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"20","610df498456dbaeef682c7ca","svTrial","survey",28,469588,"0.0-2.0-26.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"11774","Okinawa_small_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",3,20,3,2,2,2,2,1,"","","","southeast-asian","","No","",""
"21","610df498456dbaeef682c7ca","svTrial","survey",29,484094,"0.0-2.0-27.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"14476","Kanagawa_large_sch_1_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",1,21,1,4,1,3,4,1,"","","","southeast-asian","","No","",""
"22","610df498456dbaeef682c7ca","svTrial","survey",30,497597,"0.0-2.0-28.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"13474","Ishikawa_large_sch_7_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",7,22,1,4,1,4,4,1,"","","","southeast-asian","","No","",""
"23","610df498456dbaeef682c7ca","svTrial","survey",31,542892,"0.0-2.0-29.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"45233","Niigata_large_pos_7_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",7,23,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"24","610df498456dbaeef682c7ca","svTrial","survey",32,560621,"0.0-2.0-30.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"17662","Kanagawa_large_pos_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",8,24,1,4,1,3,4,1,"","","","southeast-asian","","No","",""
"25","610df498456dbaeef682c7ca","svTrial","survey",34,637562,"0.0-2.0-32.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"61053","Ishikawa_small_pos_1_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",1,25,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"26","610df498456dbaeef682c7ca","svTrial","survey",35,649613,"0.0-2.0-33.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"11986","Kanagawa_middle_sch_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",4,26,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"27","610df498456dbaeef682c7ca","svTrial","survey",36,693140,"0.0-2.0-34.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"43494","Niigata_large_sch_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",6,27,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"28","610df498456dbaeef682c7ca","svTrial","survey",37,715716,"0.0-2.0-35.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"22541","Ishikawa_middle_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"pos",7,28,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"29","610df498456dbaeef682c7ca","svTrial","survey",38,735801,"0.0-2.0-36.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"20056","Ishikawa_middle_pos_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",5,29,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"30","610df498456dbaeef682c7ca","svTrial","survey",39,749363,"0.0-2.0-37.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"13541","Niigata_middle_sch_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",1,30,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"31","610df498456dbaeef682c7ca","svTrial","survey",40,760895,"0.0-2.0-38.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"11503","Akita_middle_pos_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"sch",8,31,3,1,1,1,1,1,"","","","southeast-asian","","No","",""
"32","610df498456dbaeef682c7ca","svTrial","survey",41,774837,"0.0-2.0-39.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"13875","Tokyo_large_sch_4_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,32,1,1,2,2,2,1,"","","","southeast-asian","","No","",""
"33","610df498456dbaeef682c7ca","svTrial","survey",42,789039,"0.0-2.0-40.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"14163","Hokkaido_small_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",1,33,1,3,3,3,2,1,"","","","southeast-asian","","No","",""
"34","610df498456dbaeef682c7ca","svTrial","survey",43,812593,"0.0-2.0-41.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"23521","Hokkaido_small_pos_4_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,34,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"35","610df498456dbaeef682c7ca","svTrial","survey",44,825215,"0.0-2.0-42.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"12556","Hokkaido_large_pos_8_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",8,35,1,4,1,1,4,1,"","","","southeast-asian","","No","",""
"36","610df498456dbaeef682c7ca","svTrial","survey",45,842118,"0.0-2.0-43.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"16842","Niigata_middle_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",3,36,2,3,1,1,1,1,"","","","southeast-asian","","No","",""
"37","610df498456dbaeef682c7ca","svTrial","survey",46,855666,"0.0-2.0-44.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"13515","Niigata_large_sch_12_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",12,37,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"38","610df498456dbaeef682c7ca","svTrial","survey",47,868203,"0.0-2.0-45.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"12503","Hokkaido_large_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",7,38,1,3,NA,1,1,1,"","","","southeast-asian","","No","",""
"39","610df498456dbaeef682c7ca","svTrial","survey",48,880108,"0.0-2.0-46.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"11878","Niigata_small_pos_4_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",4,39,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"40","610df498456dbaeef682c7ca","svTrial","survey",49,892547,"0.0-2.0-47.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"12383","Tokyo_middle_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",1,40,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"41","610df498456dbaeef682c7ca","svTrial","survey",50,952213,"0.0-2.0-48.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"59627","Okinawa_middle_pos_5_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",5,41,3,1,1,1,1,1,"","","","southeast-asian","","No","",""
"42","610df498456dbaeef682c7ca","svTrial","survey",51,965146,"0.0-2.0-49.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"12865","Akita_middle_pos_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",6,42,1,1,2,4,1,1,"","","","southeast-asian","","No","",""
"43","610df498456dbaeef682c7ca","svTrial","survey",52,980711,"0.0-2.0-50.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"15527","Akita_small_pos_1_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",1,43,1,3,1,1,1,1,"","","","southeast-asian","","No","",""
"44","610df498456dbaeef682c7ca","svTrial","survey",53,990158,"0.0-2.0-51.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"9415","Hokkaido_middle_pos_5_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",5,44,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"45","610df498456dbaeef682c7ca","svTrial","survey",54,1002509,"0.0-2.0-52.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"12320","Hokkaido_middle_sch_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",8,45,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
"46","610df498456dbaeef682c7ca","svTrial","survey",55,1012431,"0.0-2.0-53.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"9858","Okinawa_middle_sch_6_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",6,46,1,2,1,1,1,1,"","","","southeast-asian","","No","",""
"47","610df498456dbaeef682c7ca","svTrial","survey",56,1025498,"0.0-2.0-54.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"13000","Ishikawa_small_pos_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",2,47,1,3,1,2,2,1,"","","","southeast-asian","","No","",""
"48","610df498456dbaeef682c7ca","svTrial","survey",57,1038608,"0.0-2.0-55.0","65553732575bb29198a888d7","65565b8022fb9d7b61f00831",7,"13043","Okinawa_large_pos_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"sch",7,48,1,1,1,1,1,1,"","","","southeast-asian","","No","",""
