"","subject_id","task","trial_type","trial_index","time_elapsed","internal_node_id","study_id","session_id","group","rt","stimulus","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","success","timeout","failed_images","failed_audio","failed_video","accuracy","size","culture","loct","number","document.id","ambiguous","objects","invisible","chaos","complex","passedChecks","zipcode","age","gender","gender-self-describe","ethnicity","ethnicity-self-describe","outsideUS","outsideUS_years","surveyComments"
"16","5cf5134c8f8ff80019e76721","svTrial","survey",24,436910,"0.0-2.0-22.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"11729","Niigata_large_pos_8_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,16,5,4,5,4,5,1,"","","man","","caucasian","","No","",""
"17","5cf5134c8f8ff80019e76721","svTrial","survey",25,437191,"0.0-2.0-23.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"270","Niigata_large_sch_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",8,17,NA,NA,NA,NA,NA,1,"","","man","","caucasian","","No","",""
"18","5cf5134c8f8ff80019e76721","svTrial","survey",26,458097,"0.0-2.0-24.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"20896","Toyama_large_sch_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",5,18,4,4,4,3,3,1,"","","man","","caucasian","","No","",""
"19","5cf5134c8f8ff80019e76721","svTrial","survey",27,468684,"0.0-2.0-25.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"10558","Toyama_small_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",4,19,5,4,5,4,4,1,"","","man","","caucasian","","No","",""
"20","5cf5134c8f8ff80019e76721","svTrial","survey",28,486293,"0.0-2.0-26.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"17597","Okinawa_large_sch_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",8,20,3,5,5,4,5,1,"","","man","","caucasian","","No","",""
"21","5cf5134c8f8ff80019e76721","svTrial","survey",29,502382,"0.0-2.0-27.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"16077","Akita_large_pos_8_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,21,5,4,4,5,5,1,"","","man","","caucasian","","No","",""
"22","5cf5134c8f8ff80019e76721","svTrial","survey",30,515368,"0.0-2.0-28.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"12972","Akita_large_pos_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",6,22,3,3,4,3,3,1,"","","man","","caucasian","","No","",""
"23","5cf5134c8f8ff80019e76721","svTrial","survey",31,527557,"0.0-2.0-29.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"12163","Kanagawa_large_sch_3_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",3,23,5,3,4,3,4,1,"","","man","","caucasian","","No","",""
"24","5cf5134c8f8ff80019e76721","svTrial","survey",32,544188,"0.0-2.0-30.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"16617","Niigata_large_pos_6_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",6,24,2,4,3,2,3,1,"","","man","","caucasian","","No","",""
"25","5cf5134c8f8ff80019e76721","svTrial","survey",34,573854,"0.0-2.0-32.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"13891","Okinawa_middle_sch_2_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",2,25,3,4,4,4,5,1,"","","man","","caucasian","","No","",""
"26","5cf5134c8f8ff80019e76721","svTrial","survey",35,586564,"0.0-2.0-33.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"12683","Okinawa_small_pos_2_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",2,26,4,3,3,4,4,1,"","","man","","caucasian","","No","",""
"27","5cf5134c8f8ff80019e76721","svTrial","survey",36,605102,"0.0-2.0-34.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"18524","Kanagawa_large_pos_5_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",5,27,2,2,2,2,2,1,"","","man","","caucasian","","No","",""
"28","5cf5134c8f8ff80019e76721","svTrial","survey",37,615784,"0.0-2.0-35.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"10668","Kanagawa_large_sch_7_1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"pos",7,28,5,5,5,4,4,1,"","","man","","caucasian","","No","",""
"29","5cf5134c8f8ff80019e76721","svTrial","survey",38,632214,"0.0-2.0-36.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"16420","Niigata_middle_pos_8_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"pos",8,29,2,4,3,3,4,1,"","","man","","caucasian","","No","",""
"30","5cf5134c8f8ff80019e76721","svTrial","survey",39,648721,"0.0-2.0-37.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"16495","Tokyo_small_sch_3_2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"sch",3,30,4,4,5,3,3,1,"","","man","","caucasian","","No","",""
"31","5cf5134c8f8ff80019e76721","svTrial","survey",40,658438,"0.0-2.0-38.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"9689","Toyama_middle_pos_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",4,31,3,1,3,2,1,1,"","","man","","caucasian","","No","",""
"32","5cf5134c8f8ff80019e76721","svTrial","survey",41,670747,"0.0-2.0-39.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"12296","Hokkaido_large_pos_12_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",1,"sch",12,32,1,3,3,1,1,1,"","","man","","caucasian","","No","",""
"33","5cf5134c8f8ff80019e76721","svTrial","survey",42,690157,"0.0-2.0-40.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"19398","Okinawa_large_sch_3_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",1,"pos",3,33,4,3,5,3,4,1,"","","man","","caucasian","","No","",""
"34","5cf5134c8f8ff80019e76721","svTrial","survey",43,708217,"0.0-2.0-41.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"18050","Toyama_large_sch_12_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",2,"pos",12,34,5,4,4,4,5,1,"","","man","","caucasian","","No","",""
"35","5cf5134c8f8ff80019e76721","svTrial","survey",44,720180,"0.0-2.0-42.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"11934","Toyama_large_sch_1_3.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","middle",2,"sch",1,35,5,2,4,3,3,1,"","","man","","caucasian","","No","",""
"36","5cf5134c8f8ff80019e76721","svTrial","survey",45,731101,"0.0-2.0-43.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"10906","Hokkaido_small_sch_4_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","small",1,"pos",4,36,3,3,3,3,2,1,"","","man","","caucasian","","No","",""
"37","5cf5134c8f8ff80019e76721","svTrial","survey",46,743857,"0.0-2.0-44.0","65553732575bb29198a888d7","65565c80e83352713e56b2f7",2,"12743","Akita_middle_sch_7_0.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]","large",2,"sch",7,37,3,2,2,2,1,1,"","","man","","caucasian","","No","",""
