name,culture,size,location_type,number
Ishikawa_small_sch_2,2,1,sch,2
Ishikawa_small_sch_3,2,1,sch,3
Ishikawa_small_sch_4,2,1,sch,4
Kanagawa_large_pos_1,1,3,pos,1
Kanagawa_large_pos_2,1,3,pos,2
Kanagawa_large_pos_3,1,3,pos,3
Kanagawa_large_pos_4,1,3,pos,4
Kanagawa_large_pos_5,1,3,pos,5
Kanagawa_large_pos_6,1,3,pos,6
Kanagawa_large_pos_7,1,3,pos,7
Kanagawa_large_pos_8,1,3,pos,8
Kanagawa_large_pos_9,1,3,pos,9
Kanagawa_large_pos_10,1,3,pos,10
Kanagawa_large_pos_11,1,3,pos,11
Kanagawa_large_pos_12,1,3,pos,12
Kanagawa_large_sch_1,1,3,sch,1
Kanagawa_large_sch_2,1,3,sch,2
Kanagawa_large_sch_3,1,3,sch,3
Kanagawa_large_sch_4,1,3,sch,4
Kanagawa_large_sch_5,1,3,sch,5
Kanagawa_large_sch_6,1,3,sch,6
Kanagawa_large_sch_7,1,3,sch,7
Kanagawa_large_sch_8,1,3,sch,8
Kanagawa_large_sch_9,1,3,sch,9
Kanagawa_large_sch_10,1,3,sch,10
Kanagawa_large_sch_11,1,3,sch,11
Kanagawa_large_sch_12,1,3,sch,12
Kanagawa_middle_pos_1,1,2,pos,1
Kanagawa_middle_pos_2,1,2,pos,2
Kanagawa_middle_pos_3,1,2,pos,3
Kanagawa_middle_pos_4,1,2,pos,4
Kanagawa_middle_pos_5,1,2,pos,5
Kanagawa_middle_pos_6,1,2,pos,6
Kanagawa_middle_pos_7,1,2,pos,7
Kanagawa_middle_pos_8,1,2,pos,8
Kanagawa_middle_sch_1,1,2,sch,1
Kanagawa_middle_sch_2,1,2,sch,2
Kanagawa_middle_sch_3,1,2,sch,3
Kanagawa_middle_sch_4,1,2,sch,4
Kanagawa_middle_sch_5,1,2,sch,5
Kanagawa_middle_sch_6,1,2,sch,6
Kanagawa_middle_sch_7,1,2,sch,7
Kanagawa_middle_sch_8,1,2,sch,8
Kanagawa_small_pos_1,1,1,pos,1
Kanagawa_small_pos_2,1,1,pos,2
Kanagawa_small_pos_3,1,1,pos,3
Kanagawa_small_pos_4,1,1,pos,4
Kanagawa_small_sch_1,1,1,sch,1
Kanagawa_small_sch_2,1,1,sch,2
Kanagawa_small_sch_3,1,1,sch,3
Kanagawa_small_sch_4,1,1,sch,4
Niigata_large_pos_1,2,3,pos,1
Niigata_large_pos_2,2,3,pos,2
Niigata_large_pos_3,2,3,pos,3
Niigata_large_pos_4,2,3,pos,4
Niigata_large_pos_5,2,3,pos,5
Niigata_large_pos_6,2,3,pos,6
Niigata_large_pos_7,2,3,pos,7
Niigata_large_pos_8,2,3,pos,8
Niigata_large_pos_9,2,3,pos,9
Niigata_large_pos_10,2,3,pos,10
Niigata_large_pos_11,2,3,pos,11
Niigata_large_pos_12,2,3,pos,12
Niigata_large_sch_1,2,3,sch,1
Niigata_large_sch_2,2,3,sch,2
Niigata_large_sch_3,2,3,sch,3
Niigata_large_sch_4,2,3,sch,4
Niigata_large_sch_5,2,3,sch,5
Niigata_large_sch_6,2,3,sch,6
Niigata_large_sch_7,2,3,sch,7
Niigata_large_sch_8,2,3,sch,8
Niigata_large_sch_9,2,3,sch,9
Niigata_large_sch_10,2,3,sch,10
Niigata_large_sch_11,2,3,sch,11
Niigata_large_sch_12,2,3,sch,12
Niigata_middle_pos_1,2,2,pos,1
